Data,Temperatura,Umiditatea,Vreme,Perioada,Vant,Activitate seismica,Calitate Aer,Viteza Vant
11:50:33,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:50:41,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:50:52,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:51:01,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:51:12,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:51:20,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:51:34,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:51:42,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:51:51,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:52:02,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:52:11,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:52:19,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:52:27,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:52:39,25.0,32.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:52:47,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:52:56,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:53:04,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:53:12,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:53:21,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:53:29,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:53:38,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:53:46,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:53:55,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:54:03,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:54:12,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:54:23,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:54:32,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:54:40,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:54:52,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:55:00,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:55:12,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:55:26,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:55:36,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:55:45,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:55:53,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:56:05,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:56:14,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:56:22,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:56:30,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:56:39,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:56:53,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:57:04,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:57:13,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:57:24,25.0,32.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:57:38,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:57:49,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:58:01,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:58:10,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:58:21,25.0,32.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:58:30,25.0,32.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:58:41,25.0,32.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:58:55,25.0,32.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
